"SETTLEMENT.DATE","CUSIP","SYMBOL","QUANTITY..FAILS.","DESCRIPTION","PRICE","GME Allocation"
20210119,"67092P607","NUSC",102949,"NUVEEN ESG SMALL-CAP ETF","40.78","0.30%"
20210119,"922908652","VXF",233053,"VANGUARD EXTENDED MARKET ETF","173.40","0.02%"
20210120,"316092204","FDIS",115732,"FIDELITY COVINGTON TR MSCI CON","74.48","0.13%"
20210120,"36467W109","GME",1007562,"GAMESTOP CORP (HLDG CO) CL A","39.36",NA
20210120,"464287655","IWM",101693,"ISHARES RUSSELL 2000 ETF","213.45","0.10%"
20210120,"464287804","IJR",376653,"ISHARES CORE S&P SM CAP ETF","100.51","0.28%"
20210120,"464287887","IJT",100896,"ISHARES S&P SMALL CAP 600 GROW","124.62","0.26%"
20210121,"36467W109","GME",1438994,"GAMESTOP CORP (HLDG CO) CL A","39.12",NA
20210121,"464287655","IWM",565440,"ISHARES RUSSELL 2000 ETF","214.39","0.10%"
20210121,"464287887","IJT",112180,"ISHARES S&P SMALL CAP 600 GROW","125.34","0.26%"
20210122,"36467W109","GME",273600,"GAMESTOP CORP (HLDG CO) CL A","43.03",NA
20210125,"33939L100","TILT",114441,"FLEXSHARES TR","151.36","0.04%"
20210125,"36467W109","GME",275113,"GAMESTOP CORP (HLDG CO) CL A","65.01",NA
20210125,"464287804","IJR",250000,"ISHARES CORE S&P SM CAP ETF","101.16","0.28%"
20210125,"78464A714","XRT",112536,"SPDR SERIES TR SPDR S&P RETAIL","74.87","3.44%"
20210126,"33939L100","TILT",121518,"FLEXSHARES TR","151.34","0.04%"
20210126,"36467W109","GME",2099572,"GAMESTOP CORP (HLDG CO) CL A","76.79",NA
20210126,"78464A714","XRT",127661,"SPDR SERIES TR SPDR S&P RETAIL","76.18","3.44%"
20210127,"36467W109","GME",1972862,"GAMESTOP CORP (HLDG CO) CL A","147.98",NA
20210128,"36467W109","GME",1032986,"GAMESTOP CORP (HLDG CO) CL A","347.51",NA
20210128,"67092P607","NUSC",177848,"NUVEEN ESG SMALL-CAP ETF","41.16","0.30%"
20210128,"78464A714","XRT",385651,"SPDR SERIES TR SPDR S&P RETAIL","91.23","3.44%"
20210129,"36467W109","GME",138179,"GAMESTOP CORP (HLDG CO) CL A","193.60",NA
20210129,"67092P607","NUSC",169188,"NUVEEN ESG SMALL-CAP ETF","40.93","0.30%"
20210129,"78464A714","XRT",2218348,"SPDR SERIES TR SPDR S&P RETAIL","82.97","3.44%"
20210201,"464287655","IWM",138013,"ISHARES RUSSELL 2000 ETF","205.56","0.10%"
20210201,"78464A714","XRT",1135221,"SPDR SERIES TR SPDR S&P RETAIL","88.01","3.44%"
20210201,"922908652","VXF",137171,"VANGUARD EXTENDED MARKET ETF","169.13","0.02%"
20210202,"36467W109","GME",159298,"GAMESTOP CORP (HLDG CO) CL A","225.00",NA
20210202,"464287655","IWM",2062475,"ISHARES RUSSELL 2000 ETF","210.61","0.10%"
20210202,"46435U663","ESML",104182,"ISHARES ESG AWARE MSCI USA SMA","36.23","0.18%"
20210202,"78464A714","XRT",1555661,"SPDR SERIES TR SPDR S&P RETAIL","82.95","3.44%"
20210203,"464287655","IWM",1711339,"ISHARES RUSSELL 2000 ETF","213.61","0.10%"
20210203,"46435U663","ESML",125687,"ISHARES ESG AWARE MSCI USA SMA","36.55","0.18%"
20210203,"78464A714","XRT",485989,"SPDR SERIES TR SPDR S&P RETAIL","76.14","3.44%"
20210204,"464287655","IWM",683323,"ISHARES RUSSELL 2000 ETF","214.25","0.10%"
20210204,"922908769","VTI",143280,"VANGUARD TOTAL STOCK MARKET ET","200.43","0.00%"
20210208,"78464A714","XRT",216633,"SPDR SERIES TR SPDR S&P RETAIL","78.86","3.44%"
20210209,"464287804","IJR",127330,"ISHARES CORE S&P SM CAP ETF","105.78","0.28%"
20210209,"46435U663","ESML",101830,"ISHARES ESG AWARE MSCI USA SMA","38.60","0.18%"
20210209,"78464A714","XRT",108238,"SPDR SERIES TR SPDR S&P RETAIL","80.07","3.44%"
20210210,"46138J593","OMFS",110771,"INVESCO EXCHANGE-TRADED SELF-I","40.11","0.15%"
20210210,"464287655","IWM",692412,"ISHARES RUSSELL 2000 ETF","228.38","0.10%"
20210210,"46435U663","ESML",176555,"ISHARES ESG AWARE MSCI USA SMA","38.69","0.18%"
20210210,"92206C664","VTWO",206427,"VANGUARD RUSSELL 2000 ETF","184.44","0.04%"
20210211,"464287887","IJT",290622,"ISHARES S&P SMALL CAP 600 GROW","132.86","0.26%"
20210216,"464287655","IWM",503500,"ISHARES RUSSELL 2000 ETF","227.26","0.10%"
20210216,"78464A714","XRT",120072,"SPDR SERIES TR SPDR S&P RETAIL","80.01","3.44%"
20210217,"464287655","IWM",1583136,"ISHARES RUSSELL 2000 ETF","225.83","0.10%"
20210218,"464287655","IWM",2691734,"ISHARES RUSSELL 2000 ETF","224.06","0.10%"
20210218,"67092P607","NUSC",104955,"NUVEEN ESG SMALL-CAP ETF","42.89","0.30%"
20210219,"464287655","IWM",276327,"ISHARES RUSSELL 2000 ETF","220.59","0.10%"
20210219,"464288869","IWC",117732,"RUSSELL MICRO CAP ETF","146.80","0.59%"
20210219,"67092P607","NUSC",124038,"NUVEEN ESG SMALL-CAP ETF","42.38","0.30%"
20210222,"464287655","IWM",864417,"ISHARES RUSSELL 2000 ETF","225.19","0.10%"
20210222,"464288869","IWC",121962,"RUSSELL MICRO CAP ETF","150.78","0.59%"
20210223,"464287655","IWM",824631,"ISHARES RUSSELL 2000 ETF","223.73","0.10%"
20210224,"36467W109","GME",173307,"GAMESTOP CORP (HLDG CO) CL A","44.97",NA
20210224,"78464A714","XRT",116334,"SPDR SERIES TR SPDR S&P RETAIL","78.00","3.44%"
20210226,"36467W109","GME",298018,"GAMESTOP CORP (HLDG CO) CL A","108.73",NA
20210226,"464287655","IWM",143219,"ISHARES RUSSELL 2000 ETF","218.61","0.10%"
20210226,"46435U663","ESML",202044,"ISHARES ESG AWARE MSCI USA SMA","37.84","0.18%"
20210301,"808524771","FNDX",235172,"SCHWAB FUNDAMENTAL U S LARGE C","48.47","0.39%"
20210302,"464287804","IJR",296623,"ISHARES CORE S&P SM CAP ETF","108.34","0.28%"
20210302,"464288570","DSI",1255192,"ISHARES MSCI KLD 400 SOCIAL ET","74.97","0.02%"
20210302,"78464A300","SLYV",197666,"SPDR S&P 600 SMALL CAP VALUE E","80.34","0.30%"
20210302,"78464A714","XRT",413252,"SPDR SERIES TR SPDR S&P RETAIL","83.31","3.44%"
20210302,"92206C649","VTWV",103156,"VANGUARD RUSSELL 2000 VALUE ET","137.25","0.09%"
20210302,"922908652","VXF",180710,"VANGUARD EXTENDED MARKET ETF","183.43","0.02%"
20210302,"922908769","VTI",121435,"VANGUARD TOTAL STOCK MARKET ET","205.22","0.00%"
20210303,"464288570","DSI",177030,"ISHARES MSCI KLD 400 SOCIAL ET","74.39","0.02%"
20210303,"67092P607","NUSC",127642,"NUVEEN ESG SMALL-CAP ETF","42.75","0.30%"
20210303,"78464A300","SLYV",130223,"SPDR S&P 600 SMALL CAP VALUE E","79.14","0.30%"
20210303,"78464A714","XRT",427133,"SPDR SERIES TR SPDR S&P RETAIL","81.88","3.44%"
20210304,"316092204","FDIS",100471,"FIDELITY COVINGTON TR MSCI CON","72.72","0.13%"
20210304,"67092P607","NUSC",132579,"NUVEEN ESG SMALL-CAP ETF","42.34","0.30%"
20210305,"316092204","FDIS",115288,"FIDELITY COVINGTON TR MSCI CON","71.09","0.13%"
20210305,"464287150","ITOT",424877,"ISHARES CORE S&P TOTAL U.S. ST","87.40","0.01%"
20210308,"464287879","IJS",102892,"ISHARES S&P SMALLCAP 600 VALUE","100.17","0.30%"
20210308,"922908769","VTI",301863,"VANGUARD TOTAL STOCK MARKET ET","200.75","0.00%"
20210309,"464287150","ITOT",373359,"ISHARES CORE S&P TOTAL U.S. ST","88.54","0.01%"
20210310,"025072885","AVUS",202546,"AMERICAN CENTY ETF TR AVANTIS ","68.07","0.02%"
20210310,"46138G664","RWJ",111709,"INVESCO EXCHANGE-TRADED FD TR ","116.16","2.11%"
20210310,"464287150","ITOT",445145,"ISHARES CORE S&P TOTAL U.S. ST","89.96","0.01%"
20210311,"46138G664","RWJ",145704,"INVESCO EXCHANGE-TRADED FD TR ","120.32","2.11%"
20210311,"46435U663","ESML",138192,"ISHARES ESG AWARE MSCI USA SMA","39.02","0.18%"
20210312,"36467W109","GME",155658,"GAMESTOP CORP (HLDG CO) CL A","260.00",NA
20210312,"922908769","VTI",127108,"VANGUARD TOTAL STOCK MARKET ET","206.99","0.00%"
